Title,Authors,Subjects,Bookshelves,Read online (web)
The Beggar's Purse: A Fairy Tale of Familiar Finance,"Adams, Samuel Hopkins","World War, 1914-1918 -- United States -- Fiction ; PS ; Finance, Personal -- Fiction ; Short stories",Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/44327.html.images
"The Haunted House: A True Ghost Story
Being an account of the mysterious manifestations that have taken place in the presence of Esther Cox, the young girl who is possessed of devils, and has become known throughout the entire dominion as the great Amherst mystery","Hubbell, Walter","Cox, Esther, 1860-1912 ; Ghosts -- Nova Scotia -- Amherst ; BF",Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/16975.html.images
"Fables for Children, Stories for Children, Natural Science Stories, Popular Education, Decembrists, Moral Tales","Tolstoy, Leo, graf",Russian literature -- Translations into English ; PG,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Russian Interest,https://www.gutenberg.org/ebooks/38025.html.images
Cape Cod is a number of things,"Neal, Allan","Cape Cod (Mass.) -- Description and travel ; F001 ; Cape Cod (Mass.) -- History -- Anecdotes ; Cape Cod (Mass.) -- History, Local",Browsing: Culture/Civilization/Society; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/74413.html.images
"Phil Purcel, The Pig-Driver; The Geography Of An Irish Oath; The Lianhan Shee
Traits And Stories Of The Irish Peasantry, The Works of
William Carleton, Volume Three","Carleton, William",Ireland -- Social life and customs -- Fiction ; PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/16015.html.images
The Story of the Battle Hymn of the Republic,"Hall, Florence Howe","Howe, Julia Ward, 1819-1910. Battle hymn of the Republic ; PS ; Battle hymn of the republic (Song)",Browsing: History - American; Browsing: Literature,https://www.gutenberg.org/ebooks/66683.html.images
Conversion of a High Priest into a Christian Worker,"Golden, M. (Meletios)","BX ; Golden, M. (Meletios)",Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/24179.html.images
El tesoro misterioso,"Le Queux, William",Detective and mystery stories ; PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/29830.html.images
"Tower's Little Primer, for the youngest class in primary school","Tower, Anna E.",PE ; Readers (Primary),Browsing: Children & Young Adult Reading; Browsing: Teaching & Education,https://www.gutenberg.org/ebooks/40415.html.images
Os Lusíadas,"Camões, Luís de","PQ ; Gama, Vasco da, 1469-1524 -- Poetry ; Explorers -- Portugal -- Poetry ; Portuguese poetry -- Classical period, 1500-1700 ; Epic poetry, Portuguese ; India -- Discovery and exploration -- Poetry ; Portugal -- Colonies -- Asia -- Poetry",PT Poesia; Poetry; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/3333.html.images
Pictorial Photography in America 1922,Pictorial Photographers of America,"TR ; Photography, Artistic -- Periodicals",Photography; Browsing: Art & Photography; Browsing: Computers & Technology,https://www.gutenberg.org/ebooks/28024.html.images
"The Albert N'Yanza, Great Basin of the Nile, And Explorations of the Nile Sources","Baker, Samuel White, Sir","Albert, Lake (Congo and Uganda) ; DT ; Nile River ; Sudan",Egypt; Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/3668.html.images
"The Jargon File, Version 4.2.2, 20 Aug 2000",,Computers -- Humor ; Computers -- Slang -- Dictionaries ; Electronic data processing -- Terminology -- Humor ; TK,Reference; Browsing: Computers & Technology; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Humour,https://www.gutenberg.org/ebooks/3008.html.images
Chitimacha Notebook: Writings of Emile Stouff—A Chitimacha Chief,"Stouff, Emile",Chitimacha Indians ; Indians of North America -- Louisiana ; E011,Browsing: Culture/Civilization/Society; Browsing: History - American,https://www.gutenberg.org/ebooks/62803.html.images
Attila: Historiallinen romaani kansainvaelluksen ajoilta,"Dahn, Felix","PT ; Attila, -453 -- Fiction",Browsing: History - General; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/49040.html.images
